,NAME,ADDRESS,CATE,SUBCATE,LAT,LON,,STATION_NAME
0,쿠우쿠우상봉점,서울 중랑구 망우로 316-0,맛집,외국식,37.59652239,127.087565,상봉역,상봉
1,아웃백스테이크하우스상봉점,서울 중랑구 망우로 293-0,맛집,외국식,37.59654853,127.0852043,상봉역,상봉
2,더아너스상봉점,서울 중랑구 망우로 353-0,맛집,외국식,37.59833282,127.0916241,상봉역,상봉
3,용마해장국,서울 중랑구 용마공원로5길 8-0,맛집,한식,37.59445017,127.1015381,면목역,면목
4,이학갈비,서울 중랑구 면목로 310-0,맛집,한식,37.57963604,127.0879747,사가정역,사가정
5,쭈꾸미킹2.0상봉점,서울 중랑구 송림길 13-0,맛집,외국식,37.59994459,127.0953881,상봉역,상봉
6,착한낙지신내점,서울 중랑구 용마산로125길 108-19,맛집,외국식,37.60396206,127.1018031,신내역,신내
7,카페252,서울 중랑구 망우로 252-0,맛집,외국식,37.59481161,127.0807035,상봉역,상봉
8,이화김치찌개,서울 중랑구 중랑천로 188-0,맛집,한식,37.60133294,127.0744538,중화역,중화
9,태능배밭갈비,서울 중랑구 동일로143길 30-0,맛집,한식,37.6052574,127.0768262,중화역,중화
10,망우찜쌈밥본점,서울 중랑구 용마공원로2길 8-0,맛집,한식,37.59459114,127.1003148,면목역,면목
11,파크더블유,서울 중랑구 양원역로16길 103-111,맛집,카페/찻집,37.60779531,127.1138504,신내역,신내
12,카페브릭,서울 중랑구 신내역로1길 127-11,맛집,카페/찻집,37.61784428,127.1086207,신내역,신내
13,애슐리퀸즈홈플러스상봉점,서울 중랑구 망우로55길 11-10,맛집,외국식,37.59928762,127.0927566,상봉역,상봉
14,농부보쌈,서울 중랑구 용마산로 389-0,맛집,외국식,37.58649757,127.0949341,면목역,면목
15,먹고을전주콩나물국밥묵동본점,서울 중랑구 중랑역로 268-0,맛집,한식,37.61596256,127.0779713,태릉입구역,태릉입구
16,찜집본점,서울 중랑구 면목로 287-0,맛집,한식,37.5784585,127.0859418,사가정역,사가정
17,달콤제빵소,서울 중랑구 봉화산로 227-0,맛집,간이음식,37.6081432,127.0979703,신내역,신내
18,더아너스상봉점,서울 중랑구 망우로 353-0,맛집,전문음식,37.59833282,127.0916241,상봉역,상봉
19,신선한우촌,서울 중랑구 용마산로 707-0,맛집,한식,37.61427506,127.1011694,신내역,신내
20,아웃백스테이크하우스상봉점,서울 중랑구 망우로 293-0,맛집,전문음식,37.59654853,127.0852043,상봉역,상봉
21,흥부골숯불돼지왕갈비,서울 중랑구 면목로 341-0,맛집,한식,37.58217635,127.0881545,사가정역,사가정
22,소담촌상봉점,서울 중랑구 망우로 328-0,맛집,한식,37.59678966,127.088962,상봉역,상봉
23,태릉설렁탕전문점,서울 중랑구 공릉로 65-0,맛집,한식,37.61646153,127.0793207,태릉입구역,태릉입구
24,채선당신내점,서울 중랑구 용마산로 623-0,맛집,외국식,37.60672942,127.1004766,신내역,신내
25,태능가든,서울 중랑구 신내로14길 13-0,맛집,한식,37.60583317,127.0960799,신내역,신내
26,할매복집,서울 중랑구 공릉로 82-0,맛집,외국식,37.61771063,127.079232,태릉입구역,태릉입구
27,맑은샘,서울 중랑구 용마산로99길 13-0,맛집,간이음식,37.59194651,127.0972493,면목역,면목
28,태명정육식당,서울 중랑구 공릉로14길 20-12,맛집,한식,37.61710271,127.0805953,화랑대역,화랑대
29,어글리스토브상봉점,서울 중랑구 상봉로 131-0,맛집,외국식,37.59740662,127.0921776,상봉역,상봉
30,울타리철판곱창,서울 중랑구 중랑역로 20-0,맛집,외국식,37.59594875,127.0763712,상봉역,상봉
31,통큰소무한리필상봉직영점,서울 중랑구 망우로 316-0,맛집,한식,37.59652239,127.087565,상봉역,상봉
32,바다목장바닷가재,서울 중랑구 봉우재로 49-0,맛집,외국식,37.59104669,127.0784782,상봉역,상봉
33,면동떡볶기,서울 중랑구 면목로57길 33-0,맛집,간이음식,37.58471051,127.0865313,사가정역,사가정
34,청평매운탕,서울 중랑구 공릉로 46-0,맛집,한식,37.61472681,127.0784428,먹골역,먹골
35,함평국밥,서울 중랑구 봉우재로33길 73-0,맛집,한식,37.59547032,127.0892169,상봉역,상봉
36,대관령쌈밥,서울 중랑구 용마산로115길 15-0,맛집,한식,37.59884174,127.0994782,상봉역,상봉
37,한도니신내점,서울 중랑구 봉화산로54길 32-0,맛집,한식,37.60638042,127.0977463,신내역,신내
38,이주소곱창,서울 중랑구 봉우재로33길 34-0,맛집,외국식,37.59395091,127.0879883,상봉역,상봉
39,하늘정원더파티중랑점,서울 중랑구 숙선옹주로 6-9,맛집,외국식,37.61484214,127.0778887,먹골역,먹골
40,미스터아구신내점,서울 중랑구 봉화산로 250-0,맛집,한식,37.60815525,127.1005659,신내역,신내
41,한동길뼈다귀감자탕신내본점,서울 중랑구 신내로 225-0,맛집,한식,37.61696711,127.0913608,봉화산역,봉화산
42,한촌설렁탕면목용마점,서울 중랑구 상봉로 39-0,맛집,한식,37.58943555,127.0934362,면목역,면목
43,홍어본가,서울 중랑구 동일로 867-0,맛집,한식,37.60778165,127.0780109,먹골역,먹골
44,추오정남원추어탕,서울 중랑구 용마산로125길 108-7,맛집,한식,37.60430463,127.1014792,신내역,신내
45,신성묵과자점,서울 중랑구 겸재로 113-0,맛집,간이음식,37.58691339,127.0803495,면목역,면목
46,채선당묵동점,서울 중랑구 동일로 942-0,맛집,외국식,37.61467083,127.0771226,태릉입구역,태릉입구
47,홍어천국,서울 중랑구 면목로 421-0,맛집,외국식,37.58964658,127.0870512,면목역,면목
48,곽만근갈비탕상봉점,서울 중랑구 봉우재로 117-0,맛집,한식,37.59276249,127.0859335,상봉역,상봉
49,장어세상,서울 중랑구 용마산로129길 4-0,맛집,외국식,37.60777481,127.1006172,신내역,신내
50,스시혼,서울 중랑구 신내로 50-0,맛집,외국식,37.60351756,127.095947,신내역,신내
51,동적깡통구이태릉입구직영점,서울 중랑구 중랑역로 263-1,맛집,한식,37.61609737,127.0775202,태릉입구역,태릉입구
52,크리스탈,서울 중랑구 봉우재로70길 93-0,맛집,간이음식,37.59145326,127.0971976,면목역,면목
53,하남돼지집면목점,서울 중랑구 면목로 355-0,맛집,한식,37.58372225,127.0880656,사가정역,사가정
54,할머니냉면,서울 중랑구 면목로49길 24-0,맛집,한식,37.58282188,127.0872241,사가정역,사가정
55,오늘그릴,서울 중랑구 봉화산로54길 5-0,맛집,한식,37.60755272,127.0981519,신내역,신내
56,금화왕돈까스용마산역점,서울 중랑구 용마산로 248-0,맛집,외국식,37.57520556,127.0884853,용마산역,용마산
57,꿀삼겹,서울 중랑구 봉우재로 139-0,맛집,한식,37.59328669,127.0883712,상봉역,상봉
